
iteration,x,y,theta
559,-1076.853638,-718.397095,-4.514883
560,-1076.853638,-718.397095,-4.514883
561,-1076.853638,-718.397095,-4.514883
562,-1076.853638,-718.397095,-4.514883
563,-1076.853638,-718.397095,-4.514883
564,-1076.853638,-718.397095,-4.514883
565,-1076.853638,-718.397095,-4.514883
566,-1076.853638,-718.397095,-4.514883
567,-1076.853638,-718.397095,-4.514883
568,-1076.853638,-718.397095,-4.514883
569,-1076.853638,-718.397095,-4.514883
570,-1076.853638,-718.397095,-4.514883
571,-1076.853638,-718.397095,-4.514883
572,-1076.853638,-718.397095,-4.514883
573,-1076.853638,-718.397095,-4.514883
574,-1076.853638,-718.397095,-4.514883
575,-1076.853638,-718.397095,-4.514883
576,-1076.853638,-718.397095,-4.514883
577,-1076.853638,-718.397095,-4.514883
578,-1076.853638,-718.397095,-4.514883
579,-1076.853638,-718.397095,-4.514883
580,-1076.853638,-718.397095,-4.514883
581,-1076.853638,-718.397095,-4.514883
582,-1076.853638,-718.397095,-4.514883
583,-1076.853638,-718.397095,-4.514883
584,-1076.853638,-718.397095,-4.514883
585,-1076.853638,-718.397095,-4.514883
586,-1076.853638,-718.397095,-4.514883
587,-1076.853638,-718.397095,-4.514883
588,-1076.853638,-718.397095,-4.514883
589,-1076.853638,-718.397095,-4.514883
590,-1076.853638,-718.397095,-4.514883
591,-1076.853638,-718.397095,-4.514883
592,-1076.853638,-718.397095,-4.514883
593,-1076.853638,-718.397095,-4.514883
594,-1076.853638,-718.397095,-4.514883
595,-1076.853638,-718.397095,-4.514883
596,-1076.853638,-718.397095,-4.514883
597,-1076.853638,-718.397095,-4.514883
598,-1076.853638,-718.397095,-4.514883
599,-1076.853638,-718.397095,-4.514883
600,-1076.853638,-718.397095,-4.514883
601,-1076.853638,-718.397095,-4.514883
602,-1076.853638,-718.397095,-4.514883
603,-1076.853638,-718.397095,-4.514883
604,-1076.853638,-718.397095,-4.514883
605,-1076.853638,-718.397095,-4.514883
606,-1076.853638,-718.397095,-4.514883
607,-1076.853638,-718.397095,-4.514883
608,-1076.853638,-718.397095,-4.514883
609,-1076.853638,-718.397095,-4.514883
610,-1076.853638,-718.397095,-4.514883
611,-1076.853638,-718.397095,-4.514883
612,-1076.853638,-718.397095,-4.514883
613,-1076.853638,-718.397095,-4.514883
614,-1076.853638,-718.397095,-4.514883
615,-1076.853638,-718.397095,-4.514883
616,-1076.853638,-718.397095,-4.514883
617,-1076.853638,-718.397095,-4.514883
618,-1076.853638,-718.397095,-4.514883
619,-1076.853638,-718.397095,-4.514883
