
iteration,x,y,theta
696,2288.014648,-225.932343,8.313945
697,2288.014648,-225.932343,8.313945
698,2288.014648,-225.932343,8.313945
699,2288.014648,-225.932343,8.313945
700,2288.014648,-225.932343,8.313945
701,2288.014648,-225.932343,8.313945
702,2288.014648,-225.932343,8.313945
703,2288.014648,-225.932343,8.313945
704,2288.014648,-225.932343,8.313945
705,2288.014648,-225.932343,8.313945
706,2288.014648,-225.932343,8.313945
707,2288.014648,-225.932343,8.313945
708,2288.014648,-225.932343,8.313945
709,2288.014648,-225.932343,8.313945
710,2288.014648,-225.932343,8.313945
711,2288.014648,-225.932343,8.313945
712,2288.014648,-225.932343,8.313945
713,2288.014648,-225.932343,8.313945
714,2288.014648,-225.932343,8.313945
715,2288.014648,-225.932343,8.313945
716,2288.014648,-225.932343,8.313945
717,2288.014648,-225.932343,8.313945
718,2288.014648,-225.932343,8.313945
719,2288.014648,-225.932343,8.313945
720,2288.014648,-225.932343,8.313945
721,2288.014648,-225.932343,8.313945
722,2288.014648,-225.932343,8.313945
723,2288.014648,-225.932343,8.313945
724,2288.014648,-225.932343,8.313945
725,2288.014648,-225.932343,8.313945
726,2288.014648,-225.932343,8.313945
727,2288.014648,-225.932343,8.313945
728,2288.014648,-225.932343,8.313945
729,2288.014648,-225.932343,8.313945
730,2288.014648,-225.932343,8.313945
731,2288.014648,-225.932343,8.313945
